"","term","step","estimate","lambda","dev.ratio"
"72","attend_live_musical_combined(1) Yes",1,0.0862838687904728,0.003813685,0.422618752289787
"73","attend_other_music_dance_performance_combined(1) Yes",1,0.013959478113129,0.003813685,0.422618752289787
"74","visited_art_museum_combined(1) Yes",1,-0.00727813043797271,0.003813685,0.422618752289787
"75","read_books_combined(1) Yes",1,-0.0462694890398467,0.003813685,0.422618752289787
"76","read_books_combined(2) No",1,0.491722181156775,0.003813685,0.422618752289787
"77","read_novels_short_stories_combined(1) Yes",1,-0.101285878474107,0.003813685,0.422618752289787
"78","attend_live_music_performance_combined(1) Yes",1,0.130060619630397,0.003813685,0.422618752289787
"79","attend_live_non_musical_play_combined_2(1) Yes",1,-0.00696542469244629,0.003813685,0.422618752289787
"80","go_see_buildings_neighborhoods_combined(1) Yes",1,-0.00165425618133551,0.003813685,0.422618752289787
"81","visited_historic_park_monument_value_combined(1) Yes",1,-1.12990404603698e-05,0.003813685,0.422618752289787
"82","read_books_combined_2(2) No",1,0.053520241456185,0.003813685,0.422618752289787
"83","go_sports_combined(2) No",1,-0.0830721891738479,0.003813685,0.422618752289787
"84","go_sports_combinedNR",1,0.0451849918842331,0.003813685,0.422618752289787
