"","term","estimate","std.error","statistic","p.value"
"124","attend_live_non_musical_play_combined_2NR",NA,NA,NA,NA
"125","go_art_exhibit_combined(2) No",NA,NA,NA,NA
"126","go_art_exhibit_combinedNR",NA,NA,NA,NA
"127","go_arts_cultural_fair_festival_combined(2) No",NA,NA,NA,NA
"128","go_arts_cultural_fair_festival_combinedNR",NA,NA,NA,NA
"129","go_see_buildings_neighborhoods_combined(2) No",NA,NA,NA,NA
"130","go_see_buildings_neighborhoods_combinedNR",NA,NA,NA,NA
"131","visited_historic_park_monument_value_combined(2) No",NA,NA,NA,NA
"132","visited_historic_park_monument_value_combinedNR",NA,NA,NA,NA
"133","read_books_combined_2(2) No",NA,NA,NA,NA
"134","read_books_combined_2NR",NA,NA,NA,NA
"135","read_novels_short_stories_combined_2(2) No",NA,NA,NA,NA
"136","read_novels_short_stories_combined_2NR",NA,NA,NA,NA
"137","read_poetry_combined(2) No",NA,NA,NA,NA
"138","read_poetry_combinedNR",NA,NA,NA,NA
"139","read_none_of_the_above_combined_2(2) No",NA,NA,NA,NA
"140","read_none_of_the_above_combined_2NR",NA,NA,NA,NA
"141","go_live_book_reading_poetry_storytelling_combined(2) No",NA,NA,NA,NA
"142","go_live_book_reading_poetry_storytelling_combinedNR",NA,NA,NA,NA
"143","go_movies_film_combined(2) No",NA,NA,NA,NA
"144","go_movies_film_combinedNR",NA,NA,NA,NA
"145","go_sports_combined(2) No",NA,NA,NA,NA
"146","go_sports_combinedNR",NA,NA,NA,NA
